TGID,Kmem Count,Vmem Count,Slab Count
13333,1000,0,1
3649,1000,0,503
13204,756,47,1000
3817,1000,0,215
7712,694,1000,577
7183,1000,80,331
3649,1000,3,413
3817,1000,0,220
13333,1000,0,1
7183,1000,111,187
13492,59,115,1000
13493,68,124,1000
13494,72,128,1000
78,10,7,1000
3649,1000,3,274
4486,231,70,1000
3817,1000,0,201
13495,51,109,1000
13204,622,83,1000
13333,1000,0,1
7183,1000,871,172
3649,1000,6,204
13204,670,94,1000
13333,1000,0,0
3649,1000,7,137
7712,4,1000,1
727,378,88,1000
727,378,89,1001
727,378,89,1002
706,1000,85,468
1,1000,4,796
13333,1000,0,1
3649,1000,7,166
13333,1000,0,1
3649,1000,7,134
13333,1000,0,0
3649,1000,7,147
13204,705,88,1000
7183,1000,610,188
3649,1000,3,353
13333,1000,0,1
3817,1000,0,209
7183,1000,716,186
13204,599,96,1000
13333,1000,0,1
3649,1000,4,273
7712,0,1000,0
3649,1000,6,132
13333,1000,0,1
3649,1000,3,123
13333,1000,0,1
3649,1000,5,125
4486,43,5,1000
13333,1000,0,1
13333,1000,0,0
3649,1000,8,134
13333,1000,0,1
3649,1000,3,123
13498,53,108,1000
13499,71,125,1000
13500,74,130,1000
4486,232,35,1000
48,35,22,1000
3649,1000,11,165
13501,52,106,1000
13333,1000,0,1
7183,82,1000,381
3649,1000,0,165
13333,1000,0,1
7183,820,1000,327
3649,1000,3,323
13204,735,69,1000
3817,1000,0,229
7183,1000,151,255
4926,0,1000,8
727,386,269,1000
727,387,269,1000
727,387,269,1000
727,388,269,1000
727,388,269,1002
727,388,269,1002
727,388,269,1004
727,388,269,1004
727,388,269,1004
13204,763,68,1000
706,1000,84,468
1,1000,4,795
3649,1000,4,526
13333,1000,1,7
3817,1000,0,236
7183,1000,112,237
3649,1000,2,167
7712,415,1000,360
13204,728,48,1000
13333,1000,0,1
3817,1000,0,245
7183,1000,83,273
13204,766,57,1000
3649,1000,4,381
13333,1000,0,1
7426,12,1000,28
7183,267,1000,196
5003,37,1000,262
3649,1000,2,246
3817,1000,0,215
7183,1000,263,272
13204,784,67,1000
13333,1000,0,1
3649,1000,2,459
3817,1000,0,176
7712,887,1000,756
7183,1000,354,303
13204,737,76,1000
3649,1000,2,256
13333,1000,0,1
3817,1000,0,212
7183,1000,771,162
13204,685,75,1000
3649,1000,3,305
7712,529,1000,365
13333,1000,0,1
3649,1000,3,236
7183,685,1000,180
13333,1000,0,1
3649,1000,5,369
13204,669,87,1000
3817,1000,0,203
7712,757,1000,682
7183,1000,145,255
3649,1000,2,250
3817,1000,0,214
13333,1000,0,1
7183,806,1000,131
13204,720,70,1000
3649,1000,2,479
3817,1000,0,224
13333,1000,0,1
3649,1000,3,289
13204,682,97,1000
3817,1000,0,217
7183,1000,735,300
13513,51,104,1000
