TGID,Kids Length,Total Percent
7183,57,60.000000
3636,1,0.000000
7712,27,70.000000
3636,1,53.000000
7183,57,71.000000
7712,27,102.000000
7183,57,20.000000
3636,1,80.000000
3636,1,10.000000
7183,57,0.000000
7712,27,0.000000
7183,56,40.000000
7712,27,61.000000
3636,1,77.000000
7183,56,40.000000
3649,1,10.000000
7712,27,20.000000
7183,56,40.000000
7712,27,34.000000
7183,56,80.000000
3649,1,41.000000
3636,1,74.000000
727,16,92.000000
7183,56,60.000000
3649,1,52.000000
3636,1,70.000000
3636,1,0.000000
7183,56,20.000000
3636,1,47.000000
3649,1,21.000000
7712,27,40.000000
7183,56,30.000000
3636,1,49.000000
4486,2,0.000000
4486,2,0.000000
4486,2,90.000000
7712,29,31.000000
7183,56,41.000000
3649,1,55.000000
3636,1,85.000000
7712,29,51.000000
7183,56,20.000000
7712,29,55.000000
7183,56,50.000000
3636,1,10.000000
3649,1,61.000000
3636,1,67.000000
7712,29,20.000000
7183,56,30.000000
7712,29,10.000000
3636,1,0.000000
7183,56,20.000000
7712,29,20.000000
7183,56,41.000000
3636,1,11.000000
3649,1,40.000000
3636,1,64.000000
7183,56,70.000000
7712,29,40.000000
3636,1,23.000000
7183,56,31.000000
3649,1,52.000000
3636,1,60.000000
7712,29,10.000000
7183,56,40.000000
7183,56,30.000000
3636,1,28.000000
3636,1,35.000000
3649,1,10.000000
7183,56,10.000000
7712,29,60.000000
3649,1,42.000000
3636,1,71.000000
7183,56,72.000000
3636,1,54.000000
727,16,92.000000
7183,56,10.000000
3636,1,74.000000
7712,29,30.000000
3649,1,31.000000
7183,56,73.000000
7712,29,102.000000
7183,56,30.000000
3636,1,54.000000
7712,29,20.000000
3636,1,50.000000
7712,29,40.000000
4486,2,0.000000
4486,2,101.000000
4486,2,107.000000
7183,56,20.000000
7712,29,0.000000
3636,1,83.000000
7183,56,20.000000
7712,29,20.000000
3636,1,67.000000
7183,56,10.000000
7712,29,0.000000
7183,56,30.000000
3636,1,22.000000
7183,56,30.000000
3636,1,12.000000
7183,57,109.000000
7183,57,10.000000
7712,29,20.000000
7183,57,40.000000
7712,29,0.000000
7183,57,20.000000
3636,1,29.000000
727,16,90.000000
7712,29,30.000000
3649,1,0.000000
7183,57,60.000000
3636,1,42.000000
3636,1,77.000000
3636,1,70.000000
3636,1,69.000000
3649,1,0.000000
3636,1,81.000000
7183,57,20.000000
3636,1,58.000000
3649,1,20.000000
3636,1,71.000000
3636,1,0.000000
3649,1,20.000000
7183,57,51.000000
3636,1,62.000000
3636,1,60.000000
4486,2,68.000000
4486,3,91.000000
3636,1,56.000000
7183,57,20.000000
3649,1,30.000000
3636,1,39.000000
3636,1,13.000000
3636,1,79.000000
3636,1,49.000000
7712,27,30.000000
3636,1,76.000000
7183,57,10.000000
7183,57,40.000000
7712,27,38.000000
3636,1,20.000000
7183,57,20.000000
3636,1,0.000000
7183,57,0.000000
7183,57,0.000000
3636,1,33.000000
7183,57,40.000000
7712,27,10.000000
3636,1,52.000000
3649,1,0.000000
7712,27,83.000000
7183,57,40.000000
7183,57,0.000000
7712,27,43.000000
7183,57,50.000000
3636,1,0.000000
7712,27,60.000000
3636,1,60.000000
7183,57,50.000000
3649,1,30.000000
3649,1,0.000000
7183,57,0.000000
3636,1,65.000000
7183,57,50.000000
3649,1,30.000000
7712,27,10.000000
3636,1,27.000000
7712,27,0.000000
7183,57,10.000000
7712,27,10.000000
7183,57,30.000000
7712,27,77.000000
7183,57,40.000000
7183,57,40.000000
3636,1,0.000000
7183,57,10.000000
3636,1,79.000000
3649,1,50.000000
7183,57,0.000000
3636,1,52.000000
7183,57,60.000000
3649,1,44.000000
7712,27,20.000000
3636,1,49.000000
7712,27,0.000000
7183,57,20.000000
4486,3,10.000000
4486,3,98.000000
7712,27,41.000000
7183,57,50.000000
3636,1,12.000000
3649,1,0.000000
3636,1,95.000000
7183,57,70.000000
3649,1,54.000000
7712,27,41.000000
3636,1,81.000000
7183,57,10.000000
3636,1,64.000000
3636,1,58.000000
7712,27,20.000000
7183,57,40.000000
3636,1,29.000000
7183,57,41.000000
3636,1,65.000000
3649,1,30.000000
7712,28,37.000000
4486,3,10.000000
4486,3,115.000000
7712,28,34.000000
4486,3,27.000000
7183,55,40.000000
7712,28,20.000000
7183,55,40.000000
7712,28,10.000000
3636,1,46.000000
7183,55,30.000000
7712,28,0.000000
3636,1,30.000000
7183,55,20.000000
7712,28,20.000000
7183,55,61.000000
3636,1,46.000000
3649,1,40.000000
7712,28,30.000000
7183,55,20.000000
3636,1,14.000000
7712,28,20.000000
7183,55,60.000000
3636,1,51.000000
3636,1,78.000000
7183,55,0.000000
7183,55,0.000000
7183,55,70.000000
3649,1,20.000000
7712,28,10.000000
3636,1,59.000000
7183,55,60.000000
3636,1,0.000000
3636,1,78.000000
4486,3,10.000000
4486,3,10.000000
4486,3,10.000000
4486,3,10.000000
4486,3,95.000000
7712,28,10.000000
3636,1,31.000000
7183,55,50.000000
7183,55,20.000000
7183,55,50.000000
3636,1,30.000000
7183,56,94.000000
727,16,91.000000
3636,1,89.000000
10340,5,34.000000
7183,56,10.000000
3636,1,90.000000
7183,56,30.000000
4486,3,10.000000
4486,3,104.000000
4486,3,101.000000
4486,3,10.000000
4486,3,96.000000
4486,3,157.000000
727,16,90.000000
4486,3,122.000000
4486,3,158.000000
7183,55,70.000000
3636,1,20.000000
7712,28,10.000000
7183,54,40.000000
3636,1,20.000000
7712,28,20.000000
7712,28,60.000000
7183,55,42.000000
3636,1,27.000000
3649,1,50.000000
7183,55,70.000000
3636,1,63.000000
7183,56,20.000000
3636,1,23.000000
3649,1,32.000000
7183,55,70.000000
3636,1,73.000000
3636,1,0.000000
7183,55,50.000000
3636,1,50.000000
7712,28,10.000000
7183,56,70.000000
3636,1,35.000000
727,16,93.000000
7712,28,42.000000
3649,1,64.000000
3636,1,74.000000
7183,56,40.000000
7712,28,30.000000
7183,56,62.000000
7183,56,62.000000
3636,1,37.000000
7712,28,54.000000
3649,1,66.000000
3636,1,82.000000
7183,56,20.000000
7183,56,20.000000
7712,28,10.000000
7183,56,50.000000
3636,1,0.000000
7712,28,20.000000
7183,56,10.000000
7183,56,10.000000
7712,28,26.000000
3636,1,78.000000
7183,56,70.000000
7712,28,50.000000
3649,1,64.000000
3636,1,84.000000
7183,56,60.000000
3649,1,50.000000
7712,28,104.000000
7183,56,60.000000
3636,1,45.000000
3649,1,63.000000
3636,1,62.000000
7183,56,50.000000
3636,1,74.000000
7183,56,50.000000
3649,1,67.000000
7712,28,40.000000
3636,1,41.000000
4486,3,10.000000
3636,1,44.000000
7183,56,30.000000
4486,3,30.000000
7183,56,60.000000
7712,28,31.000000
7183,56,20.000000
7712,28,10.000000
7183,56,30.000000
7183,56,50.000000
7712,28,20.000000
3636,1,66.000000
7183,56,50.000000
7712,28,40.000000
3649,1,21.000000
7183,56,90.000000
3636,1,85.000000
7712,28,0.000000
7183,56,60.000000
7712,28,41.000000
3649,1,50.000000
3636,1,30.000000
727,16,92.000000
3636,1,84.000000
7183,56,50.000000
7712,28,41.000000
7183,56,10.000000
7183,56,31.000000
7712,28,10.000000
7712,28,20.000000
7183,56,20.000000
7183,56,30.000000
3636,1,81.000000
7183,56,0.000000
3649,1,21.000000
7712,28,71.000000
7183,56,60.000000
3636,1,0.000000
7183,56,20.000000
3636,1,20.000000
3649,1,0.000000
7183,56,50.000000
7712,28,32.000000
3636,1,50.000000
3649,1,31.000000
7183,56,0.000000
3636,1,50.000000
3649,1,0.000000
7712,26,10.000000
7183,56,20.000000
4486,3,10.000000
4486,3,10.000000
4486,3,158.000000
3649,1,10.000000
7712,26,40.000000
7183,56,40.000000
3636,1,22.000000
7183,56,10.000000
7712,26,0.000000
3649,1,21.000000
3636,1,21.000000
7183,56,0.000000
3636,1,42.000000
7183,56,0.000000
7712,26,80.000000
7183,56,85.000000
3649,1,22.000000
3636,1,68.000000
3649,1,54.000000
3636,1,82.000000
7183,56,60.000000
7712,26,20.000000
3649,1,60.000000
3636,1,55.000000
7183,56,51.000000
7712,26,20.000000
3649,1,66.000000
4486,3,122.000000
7183,56,10.000000
3636,1,13.000000
7712,26,82.000000
3649,1,22.000000
7183,56,71.000000
3636,1,73.000000
3649,1,61.000000
7183,56,30.000000
7712,26,10.000000
3636,1,50.000000
3649,1,50.000000
7183,56,72.000000
7712,26,30.000000
7183,56,40.000000
3636,1,71.000000
3649,1,50.000000
7183,56,60.000000
7712,26,30.000000
7183,56,30.000000
7712,26,10.000000
7712,26,64.000000
7183,56,60.000000
3636,1,11.000000
727,16,90.000000
727,16,90.000000
727,16,90.000000
727,16,91.000000
727,16,91.000000
3636,1,33.000000
7712,26,55.000000
7183,56,20.000000
3636,1,0.000000
7183,56,0.000000
3636,1,0.000000
7712,26,10.000000
7183,56,30.000000
3636,1,20.000000
7183,56,0.000000
7712,26,52.000000
7183,56,30.000000
7712,26,20.000000
7183,56,40.000000
3636,1,40.000000
7712,26,40.000000
7183,56,40.000000
3636,1,51.000000
7712,26,44.000000
7183,56,30.000000
4486,3,108.000000
7712,26,70.000000
4486,2,116.000000
7712,26,62.000000
7183,55,65.000000
7183,55,65.000000
3636,1,0.000000
3636,1,60.000000
7183,55,20.000000
3636,1,20.000000
7183,55,10.000000
3636,1,41.000000
7712,26,99.000000
7183,55,0.000000
7183,55,40.000000
7183,55,70.000000
7712,26,20.000000
3636,1,11.000000
7712,26,60.000000
3649,1,10.000000
7183,55,50.000000
3636,1,20.000000
7712,26,70.000000
7183,55,0.000000
3649,1,0.000000
7183,55,81.000000
3636,1,71.000000
3636,1,24.000000
7183,54,74.000000
3649,1,20.000000
7712,26,20.000000
3636,1,67.000000
3649,1,40.000000
7712,26,50.000000
7183,54,73.000000
3636,1,73.000000
3649,1,41.000000
727,16,91.000000
3636,1,30.000000
3649,1,10.000000
7183,54,51.000000
7712,26,0.000000
3649,1,60.000000
3636,1,81.000000
7712,26,56.000000
7183,54,50.000000
7183,54,0.000000
7712,26,62.000000
7183,54,70.000000
3649,1,10.000000
3636,1,21.000000
7712,26,20.000000
7183,54,40.000000
7712,26,51.000000
7183,54,50.000000
7712,26,40.000000
3649,1,0.000000
7183,54,50.000000
3636,1,38.000000
7712,26,40.000000
3649,1,11.000000
3636,1,53.000000
7183,54,50.000000
3636,1,32.000000
4486,2,82.000000
3636,1,24.000000
7183,54,0.000000
4486,2,188.000000
7712,26,10.000000
7183,54,30.000000
3636,1,13.000000
3649,1,31.000000
7712,26,20.000000
7183,54,30.000000
7712,26,50.000000
7183,54,50.000000
7183,54,50.000000
7712,26,31.000000
7183,54,50.000000
7712,26,21.000000
7183,54,50.000000
3636,1,36.000000
7712,26,30.000000
7183,54,50.000000
7712,26,20.000000
7183,54,50.000000
7712,26,51.000000
7183,54,50.000000
4486,2,31.000000
3636,1,20.000000
7183,54,20.000000
7712,26,30.000000
7183,54,50.000000
3636,1,20.000000
7712,26,53.000000
7183,54,71.000000
3636,1,46.000000
3649,1,31.000000
7712,26,10.000000
7183,54,30.000000
3636,1,54.000000
