Timestamp,PID,Comm,Source_IP,Source_Port,Destination_IP,Destination_Port,Sent_Bytes,Received_Bytes
2024-12-11 16:27:04,198621,python3,10.193.121.196,6801,44.196.3.45,47873,513775,424203
2024-12-11 16:27:04,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1662945,6301
2024-12-11 16:27:04,198621,python3,10.193.121.196,20113,44.196.3.45,47873,82912,5469
2024-12-11 16:27:04,198621,python3,10.193.121.196,21137,44.196.3.45,47873,296281,5469
2024-12-11 16:27:04,198621,python3,10.193.121.196,12433,44.196.3.45,47873,476824,5469
2024-12-11 16:27:05,198621,python3,10.193.121.196,16529,44.196.3.45,47873,513775,299844
2024-12-11 16:27:06,198621,python3,10.193.121.196,1772,44.206.71.62,47873,181390,5469
2024-12-11 16:27:06,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1671959,6301
2024-12-11 16:27:06,198621,python3,10.193.121.196,21137,44.196.3.45,47873,513775,21659
2024-12-11 16:27:06,198621,python3,10.193.121.196,62699,44.206.71.62,47873,513775,5474
2024-12-11 16:27:06,198621,python3,10.193.121.196,748,44.206.71.62,47873,197803,5469
2024-12-11 16:27:06,198621,python3,10.193.121.196,20113,44.196.3.45,47873,197803,5469
2024-12-11 16:27:06,198621,python3,10.193.121.196,23185,44.196.3.45,47873,296281,5469
2024-12-11 16:27:07,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1691319,6301
2024-12-11 16:27:07,198621,python3,10.193.121.196,4332,44.206.71.62,47873,296281,5469
2024-12-11 16:27:07,198621,python3,10.193.121.196,62699,44.206.71.62,47873,513775,419859
2024-12-11 16:27:07,198621,python3,10.193.121.196,5356,44.206.71.62,47873,296281,5469
2024-12-11 16:27:07,198621,python3,10.193.121.196,1772,44.206.71.62,47873,513775,5474
2024-12-11 16:27:07,198621,python3,10.193.121.196,748,44.206.71.62,47873,329107,5469
2024-12-11 16:27:08,198621,python3,10.193.121.196,25233,44.196.3.45,47873,296281,5469
2024-12-11 16:27:08,198621,python3,10.193.121.196,23185,44.196.3.45,47873,513775,5474
2024-12-11 16:27:08,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1707132,6301
2024-12-11 16:27:08,198621,python3,10.193.121.196,20113,44.196.3.45,47873,329107,5469
2024-12-11 16:27:08,198621,python3,10.193.121.196,5356,44.206.71.62,47873,513775,5474
2024-12-11 16:27:08,198621,python3,10.193.121.196,1772,44.206.71.62,47873,513775,457245
2024-12-11 16:27:09,198621,python3,10.193.121.196,23185,44.196.3.45,47873,513775,421307
2024-12-11 16:27:09,198621,python3,10.193.121.196,52372,44.206.71.62,47873,181390,5469
2024-12-11 16:27:09,198621,python3,10.193.121.196,23682,44.196.3.45,47873,181390,5469
2024-12-11 16:27:09,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1730185,6301
2024-12-11 16:27:09,198621,python3,10.193.121.196,5356,44.206.71.62,47873,513775,428547
2024-12-11 16:27:09,198621,python3,10.193.121.196,4332,44.206.71.62,47873,513775,5474
2024-12-11 16:27:10,198621,python3,10.193.121.196,56468,44.206.71.62,47873,17260,5469
2024-12-11 16:27:10,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1764866,6301
2024-12-11 16:27:10,198621,python3,10.193.121.196,25218,44.196.3.45,47873,181390,5469
2024-12-11 16:27:10,198621,python3,10.193.121.196,23682,44.196.3.45,47873,513775,5474
2024-12-11 16:27:10,198621,python3,10.193.121.196,26754,44.196.3.45,47873,296281,5469
2024-12-11 16:27:11,198621,python3,10.193.121.196,4332,44.206.71.62,47873,513775,335613
2024-12-11 16:27:11,198621,python3,10.193.121.196,52372,44.206.71.62,47873,476824,5469
2024-12-11 16:27:11,198621,python3,10.193.121.196,59540,44.206.71.62,47873,181390,5469
2024-12-11 16:27:11,198621,python3,10.193.121.196,25233,44.196.3.45,47873,513775,5474
2024-12-11 16:27:11,198621,python3,10.193.121.196,62100,44.206.71.62,47873,296281,5469
2024-12-11 16:27:11,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1776698,6301
2024-12-11 16:27:11,198621,python3,10.193.121.196,64660,44.206.71.62,47873,279868,5469
2024-12-11 16:27:11,198621,python3,10.193.121.196,23682,44.196.3.45,47873,513775,445923
2024-12-11 16:27:12,198621,python3,10.193.121.196,56468,44.206.71.62,47873,296281,5469
2024-12-11 16:27:12,198621,python3,10.193.121.196,26754,44.196.3.45,47873,513775,20211
2024-12-11 16:27:12,198621,python3,10.193.121.196,25233,44.196.3.45,47873,513775,447532
2024-12-11 16:27:12,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1791488,6301
2024-12-11 16:27:12,198621,python3,10.193.121.196,62100,44.206.71.62,47873,513775,21659
2024-12-11 16:27:13,198621,python3,10.193.121.196,65172,44.206.71.62,47873,296281,5469
2024-12-11 16:27:13,198621,python3,10.193.121.196,59540,44.206.71.62,47873,513775,5474
2024-12-11 16:27:13,198621,python3,10.193.121.196,56468,44.206.71.62,47873,443998,5469
2024-12-11 16:27:13,198621,python3,10.193.121.196,52372,44.206.71.62,47873,513775,5474
2024-12-11 16:27:13,198621,python3,10.193.121.196,64660,44.206.71.62,47873,513775,5474
2024-12-11 16:27:13,198621,python3,10.193.121.196,25218,44.196.3.45,47873,513775,5474
2024-12-11 16:27:13,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1825437,6301
2024-12-11 16:27:14,198621,python3,10.193.121.196,2709,44.206.71.62,47873,279868,5469
2024-12-11 16:27:14,198621,python3,10.193.121.196,65172,44.206.71.62,47873,513775,5474
2024-12-11 16:27:14,198621,python3,10.193.121.196,59540,44.206.71.62,47873,513775,422755
2024-12-11 16:27:14,198621,python3,10.193.121.196,30850,44.196.3.45,47873,181390,5469
2024-12-11 16:27:14,198621,python3,10.193.121.196,64660,44.206.71.62,47873,513775,443027
2024-12-11 16:27:14,198621,python3,10.193.121.196,52372,44.206.71.62,47873,513775,456059
2024-12-11 16:27:14,198621,python3,10.193.121.196,25218,44.196.3.45,47873,513775,463945
2024-12-11 16:27:15,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1868720,6301
2024-12-11 16:27:15,198621,python3,10.193.121.196,65172,44.206.71.62,47873,513775,416963
2024-12-11 16:27:15,198621,python3,10.193.121.196,4245,44.206.71.62,47873,296281,5469
2024-12-11 16:27:15,198621,python3,10.193.121.196,30850,44.196.3.45,47873,513775,5474
2024-12-11 16:27:16,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1897208,6301
2024-12-11 16:27:16,198621,python3,10.193.121.196,2709,44.206.71.62,47873,513775,5474
2024-12-11 16:27:16,198621,python3,10.193.121.196,56468,44.206.71.62,47873,513775,5474
2024-12-11 16:27:16,198621,python3,10.193.121.196,4245,44.206.71.62,47873,513775,5474
2024-12-11 16:27:17,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1927212,6301
2024-12-11 16:27:18,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,1992308,6301
2024-12-11 16:27:19,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,2291372,8297
2024-12-11 16:27:20,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,2531519,10807
2024-12-11 16:27:21,193812,xrdp,::ffff:10.193.121.196,15629,::ffff:10.196.181.39,6383,2602795,11831
